   7.70000,  77.07567,  77.11230,  77.06695,  76.95116,  76.92620
   7.80000,  77.07646,  77.11283,  77.06757,  76.95050,  76.92548
   7.90000,  77.07725,  77.11336,  77.06817,  76.94985,  76.92476
   8.00000,  77.07803,  77.11387,  77.06876,  76.94920,  76.92405
   8.10000,  77.07879,  77.11438,  77.06933,  76.94856,  76.92334
   8.20000,  77.07954,  77.11487,  77.06990,  76.94791,  76.92263
   8.30000,  77.08027,  77.11536,  77.07046,  76.94727,  76.92192
   8.40000,  77.08100,  77.11583,  77.07100,  76.94663,  76.92122
   8.50000,  77.08171,  77.11630,  77.07154,  76.94599,  76.92052
   8.60000,  77.08242,  77.11675,  77.07206,  76.94535,  76.91982
   8.70000,  77.08311,  77.11720,  77.07258,  76.94471,  76.91912
   8.80000,  77.08379,  77.11763,  77.07308,  76.94408,  76.91843
   8.90000,  77.08445,  77.11806,  77.07357,  76.94344,  76.91774
   9.00000,  77.08511,  77.11848,  77.07406,  76.94281,  76.91705
   9.10000,  77.08576,  77.11889,  77.07453,  76.94219,  76.91637
   9.20000,  77.08639,  77.11929,  77.07499,  76.94156,  76.91568
   9.30000,  77.08701,  77.11968,  77.07545,  76.94093,  76.91500
   9.40000,  77.08762,  77.12007,  77.07589,  76.94031,  76.91432
   9.50000,  77.08823,  77.12045,  77.07633,  76.93969,  76.91364
   9.60000,  77.08882,  77.12082,  77.07675,  76.93907,  76.91297
   9.70000,  77.08940,  77.12119,  77.07717,  76.93845,  76.91230
   9.80000,  77.08997,  77.12155,  77.07758,  76.93783,  76.91163
   9.90000,  77.09053,  77.12190,  77.07798,  76.93721,  76.91096
  10.00000,  77.09108,  77.12225,  77.07837,  76.93660,  76.91029
  10.10000,  77.09162,  77.12259,  77.07875,  76.93599,  76.90963
  10.20000,  77.09216,  77.12292,  77.07913,  76.93538,  76.90897
  10.30000,  77.09268,  77.12325,  77.07950,  76.93477,  76.90831
  10.40000,  77.09319,  77.12358,  77.07985,  76.93416,  76.90765
  10.50000,  77.09370,  77.12390,  77.08021,  76.93355,  76.90699
  10.60000,  77.09420,  77.12422,  77.08055,  76.93295,  76.90634
  10.70000,  77.09468,  77.12453,  77.08089,  76.93235,  76.90569
  10.80000,  77.09516,  77.12484,  77.08122,  76.93174,  76.90504
  10.90000,  77.09564,  77.12514,  77.08154,  76.93114,  76.90439
  11.00000,  77.09610,  77.12545,  77.08186,  76.93055,  76.90375
  11.10000,  77.09656,  77.12574,  77.08217,  76.92995,  76.90310
  11.20000,  77.09701,  77.12604,  77.08248,  76.92935,  76.90246
  11.30000,  77.09745,  77.12634,  77.08278,  76.92876,  76.90182
  11.40000,  77.09788,  77.12663,  77.08307,  76.92817,  76.90119
  11.50000,  77.09831,  77.12692,  77.08336,  76.92757,  76.90055
  11.60000,  77.09874,  77.12721,  77.08364,  76.92698,  76.89992
  11.70000,  77.09915,  77.12750,  77.08392,  76.92640,  76.89928
  11.80000,  77.09956,  77.12778,  77.08419,  76.92581,  76.89865
  11.90000,  77.09997,  77.12807,  77.08446,  76.92522,  76.89803
  12.00000,  77.10037,  77.12835,  77.08473,  76.92464,  76.89740
  12.10000,  77.10076,  77.12864,  77.08499,  76.92406,  76.89677
  12.20000,  77.10115,  77.12893,  77.08524,  76.92347,  76.89615
  12.30000,  77.10153,  77.12921,  77.08549,  76.92289,  76.89553
  12.40000,  77.10191,  77.12950,  77.08574,  76.92232,  76.89491
  12.50000,  77.10229,  77.12979,  77.08599,  76.92174,  76.89429
  12.60000,  77.10266,  77.13008,  77.08623,  76.92116,  76.89367
  12.70000,  77.10303,  77.13037,  77.08647,  76.92059,  76.89306
  12.80000,  77.10339,  77.13066,  77.08671,  76.92001,  76.89245
  12.90000,  77.10375,  77.13096,  77.08695,  76.91944,  76.89184
  13.00000,  77.10411,  77.13126,  77.08718,  76.91887,  76.89123
  13.10000,  77.10447,  77.13156,  77.08741,  76.91830,  76.89062
